,Date,Open,High,Low,Close,Volume,pct_change,turnover,Amount,change_amount,Amplitude,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes,prediction,predict_percentages,actual_percentage
2014,2024-05-07,39.35806119,40.01954121,39.35806119,39.72555009,11583491,-0.1847,0.5554,375169151.81,-0.07349778000000384,1.665124884366325,2024,5,7,38.466288125999995,37.644337953000004,36.8242252245,77.94299876084257,0.4788683187252545,0.01806795797859169,0.4608003607466628,50.289759853172185,36.93263445,1.491227788949043,39.91509002789809,33.950178872101915,24.05,-0.184672206832881,1.2529621542857146,39.79904787,39.45605823,40.68102123,39.45605823,39.346591279579826,-1.1368528008460999,0.42580000000000007
2015,2024-05-08,38.65983228,39.67655157,38.65983228,38.72108043,12013614,-2.5285,0.5761,383094208.72,-1.004469659999998,2.625751344511224,2024,5,8,38.966073030000004,37.881980775,36.93263445,66.01307189542482,0.49945796257986075,0.11434595889884551,0.3851120036810152,50.284762448707085,36.9993949335,1.5416229090368125,40.08264075157363,33.91614911542637,24.05,-2.5285229725562686,1.2135883435714285,39.72555009,39.35806119,40.01954121,39.35806119,39.23150540233589,-1.2436446733772755,-0.45659999999999995
2016,2024-05-09,38.72108043,39.26006415,38.72108043,39.11306859,7956211,1.0123,0.3815,253299273.67,0.3919881599999968,1.3780144065142435,2024,5,9,39.11306859,38.085324633,36.9993949335,72.9619565217391,0.5411673320661805,0.19971023353231254,0.34145709853386796,50.28156732166124,37.117603863,1.6105053025922607,40.338614468184524,33.896593257815475,24.05,1.0123378677633577,1.183839242142857,38.72108043,38.65983228,39.67655157,38.65983228,38.35029434921501,-0.9575819596648216,-1.7038000000000002
2017,2024-05-10,39.29681304,40.24003455,39.29681304,39.9337938,15968527,2.0983,0.7657,520245805.66,0.8207252099999991,2.3619631901840332,2024,5,10,39.189016296,38.322967455000004,37.117603863,72.96195652173908,0.6331494208424573,0.2863980709943415,0.3467513498481158,50.27563089150692,37.2884862015,1.720862379141553,40.73021095978311,33.84676144321689,24.05,2.0983401190103335,1.1820892949999993,39.11306859,38.72108043,39.26006415,38.72108043,38.79812441234344,-0.805214699357748,-0.6333
2018,2024-05-13,39.23556489,40.36253085,39.23556489,39.9337938,12223312,0.0,0.5861,397940389.12,0.0,2.822085889570552,2024,5,13,39.458508156,38.697806133,37.2884862015,67.32348111658453,0.6979997818968897,0.36871841317485116,0.32928136872203856,50.271091375976866,37.507142097,1.7669792099031036,41.0411005168062,33.973183677193795,24.05,0.0,1.0902170699999993,39.9337938,39.29681304,40.24003455,39.29681304,39.682831378846245,-0.6284462288022041,-2.6166
2019,2024-05-14,39.66430194,40.28903307,39.66430194,39.97054269,7795793,0.092,0.3738,254286674.61,0.036748890000005474,1.562978853815509,2024,5,14,39.485457342,38.97587273399999,37.507142097,74.0143369175627,0.743785591248411,0.4437318487895632,0.30005374245884786,50.268208526213726,37.726410474,1.787896561083538,41.302203596167075,34.15061735183292,24.05,0.09202453987731118,1.0692177042857136,39.9337938,39.23556489,40.36253085,39.23556489,39.802338299615954,-0.32918360084295273,0.0689
2020,2024-05-15,39.23556489,39.98279232,39.23556489,39.29681304,8738649,-1.6856,0.419,281770436.13,-0.6737296499999985,1.9014962593516267,2024,5,15,39.534455862,39.250264446,37.726410474,67.15927750410506,0.7174366596434893,0.49847281096034846,0.2189638486831409,50.264767632232875,37.981202778,1.6136577938090448,41.20851836561808,34.75388719038191,24.05,-1.6855654305853451,1.0508432592857138,39.97054269,39.66430194,40.28903307,39.66430194,39.99189737328572,0.053426052909344435,-3.8898
2021,2024-05-16,39.35806119,41.17100643,39.35806119,40.7912679,21662662,3.803,1.0388,716260762.89,1.4944548599999976,4.444444444444438,2024,5,16,39.649602384000005,39.381335487,37.981202778,77.40524781341108,0.8078327657690565,0.56034480192209,0.24748796384696647,50.25740810559294,38.234770119000004,1.637891474758194,41.510553068516394,34.95898716948361,24.05,3.802992518703241,1.1164662771428564,39.29681304,39.23556489,39.98279232,39.23556489,39.60554070603675,0.785630289465189,4.4413
2022,2024-05-17,40.32578196,42.3837198,40.32578196,42.2612235,23840864,3.6036,1.1432,804844822.07,1.4699555999999987,4.869565217391307,2024,5,17,39.985242246,39.587129270999995,38.234770119000004,78.67950481430536,0.9867112698187839,0.6456180955014288,0.3410931743173551,50.250577467680664,38.5991966115,1.6840760663791279,41.96734874425825,35.231044478741744,24.05,3.603603603603611,1.182964268571428,40.7912679,39.35806119,41.17100643,39.35806119,41.05949064032012,0.6575494073331356,-2.0919
2023,2024-05-20,42.11422794,43.52293539,42.11422794,42.61646277,29457476,0.8406,1.4125,1029278881.46,0.35523926999999844,3.305547571141136,2024,5,20,40.450728186,39.954618171,38.5991966115,79.33333333333331,1.1439518484353073,0.7452848460882046,0.39866700234710273,50.24252827125537,38.940348807,1.7744454128009157,42.48923963260183,35.39145798139817,24.05,0.8405797101449286,1.227587920714285,42.2612235,40.32578196,42.3837198,40.32578196,41.98771734667885,-0.6471799220889807,2.3468
