tic,type,quantity,price,high,low,day
601877,buy,0,18.00303773801308,18.04,17.74,2024-09-23
600795,buy,1,4.608623427199199,4.76,4.57,2024-09-23
002905,buy,-1,5.634465027311816,5.69,5.57,2024-09-23
000776,buy,0,11.868954549795017,11.93,11.7,2024-09-23
002001,sell,100,18.310982981249687,18.54,17.87,2024-09-24
601336,buy,43,41.888244262256734,45.63034245,41.860386,2024-09-24
601628,buy,0,34.10513445466757,35.97,34.61,2024-09-24
601319,buy,4,6.954443823098611,7.31937195,7.05426084,2024-09-24
300442,buy,0,21.831908876849337,23.42,21.88,2024-09-24
601877,buy,0,17.832763522127642,18.47,17.73,2024-09-24
600795,buy,0,4.709885268765502,4.84,4.65,2024-09-24
002905,buy,0,5.64966480712792,5.89,5.64,2024-09-24
000776,buy,0,11.885302162026054,12.44,11.89,2024-09-24
002001,sell,100,17.89043625175953,19.2,18.53,2024-09-25
601336,buy,39,45.06725992506749,48.60596025,46.5255495,2024-09-25
601628,buy,0,35.31650108680129,37.41,36.11,2024-09-25
601319,buy,4,7.166087439474733,7.57295649,7.31937195,2024-09-25
300442,buy,0,23.08659087833017,25.5,24.02,2024-09-25
601877,buy,0,18.57877804589458,19.1,18.59,2024-09-25
600795,buy,0,4.821530281752348,4.92,4.77,2024-09-25
002905,buy,0,5.887952068503946,6.17,5.93,2024-09-25
000776,buy,0,12.314098939779216,13.03,12.59,2024-09-25
002001,sell,100,18.956555547229947,19.3,18.44,2024-09-26
601336,buy,41,46.23313493248102,50.27028885,46.71467775,2024-09-26
601628,buy,-1,36.5375536412932,38.38,36.86,2024-09-26
601319,buy,4,7.231229966708314,7.65364248,7.28479224,2024-09-26
300442,buy,0,23.767197161540388,25.27,24.07,2024-09-26
601877,buy,0,18.944270763471724,19.39,18.65,2024-09-26
600795,buy,1,4.83187680139672,4.81,4.62,2024-09-26
002905,buy,0,6.035595415816642,6.29,5.96,2024-09-26
000776,buy,0,12.546767566995696,13.33,12.65,2024-09-26
002001,sell,100,18.942910057660193,20.3,19.38,2024-09-27
601336,buy,38,49.69181698645855,53.6115546,51.10245315,2024-09-27
601628,buy,0,37.5751966759935,39.34,38.31,2024-09-27
601319,buy,0,7.495571715548,7.84959417,7.54990335,2024-09-27
300442,buy,0,24.689322450682518,27.15,24.96,2024-09-27
601877,buy,0,19.534734410466626,20.39,19.59,2024-09-27
600795,buy,0,4.7713678303407505,4.82,4.72,2024-09-27
002905,buy,0,6.312225997736678,6.61,6.26,2024-09-27
000776,buy,0,13.126647963188589,14.6,13.57,2024-09-27
002001,sell,100,20.43995793610811,21.9,20.21,2024-09-30
601336,buy,38,52.54239563815387,58.5288891,55.86848505,2024-09-30
601628,buy,1,38.360648151058705,43.11,40.26,2024-09-30
601319,buy,1,7.646497012023849,8.57576808,8.01096615,2024-09-30
300442,buy,0,25.92075384605676,31.29,27.7,2024-09-30
601877,buy,0,20.54453294545412,22.33,20.86,2024-09-30
600795,buy,0,4.8329564110375935,5.24,4.87,2024-09-30
002905,buy,0,6.545355255594477,7.11,6.52,2024-09-30
000776,buy,0,14.24224633410573,16.1,15.41,2024-09-30
002001,sell,100,20.952847014516593,23.9,21.2,2024-10-08
601336,buy,36,57.68515016038175,64.3792563,61.21451025,2024-10-08
601628,buy,0,42.17426702845842,47.51,46.13,2024-10-08
601319,buy,1,8.335374855194258,9.42873426,8.91003861,2024-10-08
300442,buy,0,30.343640238642692,37.53,35.15,2024-10-08
601877,buy,0,22.106897071525456,24.41,22.29,2024-10-08
600795,buy,1,5.190216076918878,5.72,4.93,2024-10-08
002905,buy,0,7.1174094454851,7.79,6.76,2024-10-08
